order_id,customer_id,product_id,location_id,rep_id,order_date,ship_date,quantity,unit_price,revenue,cost,discount_pct,status,region,profit,days_to_ship,order_year,order_month,order_quarter,order_weekday,revenue_tier,segment,customer_region,customer_status,category,subcategory,product_is_active,state,territory,rep_team,rep_manager
ORD-00001,CUST-0430,PROD-0057,LOC-0058,REP-0036,2024-03-08,2024-03-09,2,51.38,93.19,59.72,0.0931,Completed,Central,33.47,1,2024,3,1,Friday,Low,B2C,West,Inactive,Office,,0,KY,Territory-F,,
ORD-00002,CUST-0105,PROD-0024,LOC-0049,REP-0013,2023-01-07,2023-01-20,11,350.58,3331.53,1539.81,0.1361,Cancelled,East,1791.72,13,2023,1,1,Saturday,High,B2C,West,Churned,Electronics,Accessories,0,VT,Territory-D,,
ORD-00003,CUST-0081,PROD-0142,LOC-0038,REP-0047,2024-01-03,2024-01-17,23,303.84,4731.79,3273.89,0.3229,Completed,West,1457.9,14,2024,1,1,Wednesday,High,B2B,East,Active,Home & Garden,Furniture,1,WV,Territory-D,Retail,Angie Henderson
ORD-00004,CUST-0888,PROD-0026,LOC-0049,REP-0036,2024-08-14,2024-08-18,46,39.43,1334.04,946.14,0.2645,Cancelled,South,387.9,4,2024,8,3,Wednesday,Medium,B2C,East,Churned,Sports,Fitness,0,VT,Territory-D,,
ORD-00005,CUST-0624,PROD-0163,LOC-0022,REP-0069,2024-04-09,2024-04-20,24,85.0,1760.62,1176.22,0.1421,Pending,North,584.4,11,2024,4,2,Tuesday,Medium,B2C,South,Churned,Home & Garden,Decor,1,SC,Territory-F,Partner,Angie Henderson
ORD-00006,CUST-0864,PROD-0197,LOC-0100,REP-0008,2023-09-08,2023-09-11,30,192.83,3495.24,2292.88,0.3958,Completed,East,1202.36,3,2023,9,3,Friday,High,B2C,Central,Active,Beauty,Haircare,1,CO,Territory-C,Online,Cristian Santos
ORD-00007,CUST-0898,PROD-0184,LOC-0041,REP-0028,2023-08-23,2023-09-06,3,403.0,1016.21,433.39,0.1605,Returned,Central,582.82,14,2023,8,3,Wednesday,Medium,B2C,South,Inactive,Apparel,Sportswear,1,AL,Territory-E,Online,Angie Henderson
ORD-00008,CUST-0552,PROD-0068,LOC-0096,REP-0075,2024-11-02,2024-11-10,26,442.92,8555.18,3910.99,0.2571,Completed,Central,4644.19,8,2024,11,4,Saturday,High,B2C,North,Active,Apparel,Men's Clothing,1,LA,Territory-C,SMB,Allison Hill
ORD-00010,CUST-0882,PROD-0003,LOC-0088,REP-0015,2024-11-27,2024-12-04,39,36.0,1204.62,961.83,0.1526,Completed,Central,242.79,7,2024,11,4,Wednesday,Medium,Guest,East,Active,Beauty,Fragrance,1,FL,Territory-A,Retail,Abigail Shaffer
ORD-00011,CUST-0004,PROD-0185,LOC-0093,REP-0034,2024-11-29,2024-12-08,49,137.08,4994.7,2220.75,0.2564,Completed,West,2773.95,9,2024,11,4,Friday,High,B2C,West,Active,Home & Garden,Kitchen,1,KY,Territory-A,SMB,Cristian Santos
ORD-00012,CUST-0624,PROD-0051,LOC-0020,REP-0048,2024-05-27,2024-06-09,12,256.0,2944.58,1914.33,0.0426,Returned,Central,1030.25,13,2024,5,2,Monday,High,B2C,South,Churned,Electronics,Smartphones,1,IL,Territory-E,Retail,Noah Rhodes
ORD-00014,CUST-0785,PROD-0033,LOC-0017,REP-0061,2023-03-01,2023-03-05,37,473.74,16927.16,10061.44,0.0343,Completed,Central,6865.72,4,2023,3,1,Wednesday,Premium,B2C,North,Active,Home & Garden,Kitchen,1,MS,Territory-A,SMB,Cristian Santos
ORD-00015,CUST-0731,PROD-0080,LOC-0052,REP-0048,2024-07-16,2024-07-19,17,266.2,,2693.17,0.2426,Cancelled,South,,3,2024,7,3,Tuesday,Premium,B2C,North,Active,Electronics,Tablets,0,DE,Territory-A,Retail,Noah Rhodes
ORD-00016,CUST-0603,PROD-0057,LOC-0001,REP-0010,2024-03-24,2024-04-02,29,64.9,1712.9,916.8,0.0899,Completed,South,796.1,9,2024,3,1,Sunday,Medium,B2B,Central,Active,Office,,0,,,Partner,Connie Lawrence
ORD-00017,CUST-0286,PROD-0172,LOC-0063,REP-0028,2024-12-25,2025-01-05,4,118.33,301.88,224.55,0.3622,Completed,South,77.33,11,2024,12,4,Wednesday,Low,Guest,Central,Active,Home & Garden,Outdoor,1,LA,Territory-B,Online,Angie Henderson
ORD-00018,CUST-0195,PROD-0025,LOC-0013,REP-0056,2024-07-06,2024-07-09,47,468.08,16975.01,9999.44,0.2284,Pending,Unknown,6975.57,3,2024,7,3,Saturday,Premium,B2C,South,Inactive,Electronics,Accessories,1,AL,Territory-D,SMB,Allison Hill
ORD-00019,CUST-0063,PROD-0104,LOC-0094,REP-0044,2023-12-29,2024-01-05,27,236.18,4517.37,3023.68,0.2916,Cancelled,North,1493.69,7,2023,12,4,Friday,High,B2C,East,Churned,Home & Garden,Kitchen,1,WV,Territory-E,Retail,Abigail Shaffer
ORD-00020,CUST-0896,PROD-0020,LOC-0057,REP-0071,2023-04-22,2023-04-26,13,99.15,1057.71,601.58,0.1794,Completed,South,456.13,4,2023,4,2,Saturday,Medium,B2C,South,Active,Beauty,Haircare,1,CA,Territory-F,Partner,Gina Moore
ORD-00021,CUST-0171,PROD-0105,LOC-0063,REP-0062,2023-04-11,2023-04-12,42,499.0,13967.54,11000.81,0.3344,Cancelled,South,2966.73,1,2023,4,2,Tuesday,Premium,B2C,East,Churned,Beauty,Haircare,1,LA,Territory-B,,
ORD-00022,CUST-0293,PROD-0109,LOC-0090,REP-0072,2023-08-07,2023-08-21,26,451.0,10970.5,4397.66,0.0659,Completed,West,6572.84,14,2023,8,3,Monday,Premium,,Central,Inactive,Office,Stationery,1,MN,Territory-D,Enterprise,Abigail Shaffer
ORD-00023,CUST-0063,PROD-0192,LOC-0041,REP-0008,2024-11-08,2024-11-20,32,81.0,2301.81,1812.64,0.1187,Completed,Central,489.17,12,2024,11,4,Friday,High,B2C,East,Churned,Office,Supplies,1,AL,Territory-E,Online,Cristian Santos
ORD-00025,CUST-0635,PROD-0021,LOC-0054,REP-0075,2024-11-22,2024-12-06,16,204.87,2043.46,1283.03,0.3766,Completed,North,760.43,14,2024,11,4,Friday,High,Guest,Central,Inactive,Electronics,Smartphones,1,,,SMB,Allison Hill
ORD-00026,CUST-0135,PROD-0172,LOC-0083,REP-0039,2024-08-01,2024-08-10,21,467.0,9018.88,6191.25,0.0817,Completed,West,2827.63,9,2024,8,3,Thursday,High,B2B,South,Churned,Home & Garden,Outdoor,1,CA,Territory-A,Enterprise,Daniel Wagner
ORD-00028,CUST-0721,PROD-0078,LOC-0079,REP-0068,2023-09-29,2023-10-02,23,441.03,6576.15,3602.49,0.3517,Completed,Central,2973.66,3,2023,9,3,Friday,High,B2C,Central,Active,Electronics,Smartphones,1,LA,Territory-E,Enterprise,Angie Henderson
ORD-00029,CUST-0912,PROD-0028,LOC-0096,REP-0071,2023-01-09,2023-01-20,36,153.19,4051.2,3142.0,0.2654,Completed,North,909.2,11,2023,1,1,Monday,High,B2C,West,Churned,Sports,Fitness,1,LA,Territory-C,Partner,Gina Moore
ORD-00031,CUST-0166,PROD-0190,LOC-0057,REP-0071,2023-04-05,2023-04-16,28,415.53,11430.07,6097.06,0.0176,Completed,East,5333.01,11,2023,4,2,Wednesday,Premium,B2C,Central,Inactive,Apparel,Sportswear,0,CA,Territory-F,Partner,Gina Moore
ORD-00032,CUST-0037,PROD-0095,LOC-0075,REP-0071,2024-12-23,2024-12-30,36,9.0,341.83,257.48,0.0301,Returned,Central,84.35,7,2024,12,4,Monday,Low,B2C,Central,Active,Sports,Team Sports,1,KY,Territory-B,Partner,Gina Moore
ORD-00033,CUST-0921,PROD-0092,LOC-0027,REP-0032,2023-06-01,2023-06-08,9,25.71,197.63,152.81,0.1459,Cancelled,North,44.82,7,2023,6,2,Thursday,Low,B2C,East,Active,Home & Garden,Outdoor,0,WV,Territory-F,Partner,Noah Rhodes
ORD-00035,CUST-0274,PROD-0041,LOC-0090,REP-0014,2024-02-27,2024-02-28,12,369.0,3845.76,2970.18,0.1329,Returned,South,875.58,1,2024,2,1,Tuesday,High,B2C,North,Active,Beauty,Skincare,0,MN,Territory-D,Enterprise,Angie Henderson
ORD-00036,CUST-0841,PROD-0059,LOC-0029,REP-0004,2024-01-27,2024-02-10,3,430.0,1175.19,853.93,0.089,Completed,East,321.26,14,2024,1,1,Saturday,Medium,B2C,West,Active,Beauty,Skincare,1,NC,Territory-E,Partner,Daniel Wagner
ORD-00037,CUST-0410,PROD-0174,LOC-0069,REP-0043,2024-11-06,2024-11-10,26,167.0,2849.31,2241.71,0.3457,Completed,Central,607.6,4,2024,11,4,Wednesday,High,B2B,South,Churned,Electronics,Tablets,1,CO,Territory-D,SMB,Noah Rhodes
ORD-00038,CUST-0354,PROD-0187,LOC-0041,REP-0056,2023-01-29,2023-01-31,17,93.39,976.39,494.24,0.385,Completed,West,482.15,2,2023,1,1,Sunday,Medium,B2C,South,Active,Home & Garden,,0,AL,Territory-E,SMB,Allison Hill
ORD-00039,CUST-0533,PROD-0138,LOC-0088,REP-0026,2024-09-12,2024-09-21,8,195.0,1204.39,604.47,0.2306,Pending,North,599.92,9,2024,9,3,Thursday,Medium,B2B,Central,Active,Sports,Team Sports,1,FL,Territory-A,Partner,Cristian Santos
ORD-00040,CUST-0738,PROD-0077,LOC-0065,REP-0040,2024-01-08,2024-01-15,5,474.69,1499.31,973.45,0.3683,Pending,North,525.86,7,2024,1,1,Monday,Medium,,Central,Active,Apparel,Sportswear,1,CT,Territory-D,Enterprise,Daniel Wagner
ORD-00041,CUST-0694,PROD-0192,LOC-0023,REP-0073,2024-11-13,2024-11-20,21,204.19,3780.72,1704.78,0.1183,Completed,West,2075.94,7,2024,11,4,Wednesday,High,B2B,West,Active,Office,Supplies,1,,,SMB,Cristian Santos
ORD-00042,CUST-0671,PROD-0083,LOC-0060,REP-0057,2023-11-05,2023-11-12,36,417.0,13209.86,6394.54,0.1215,Pending,Central,6815.32,7,2023,11,4,Sunday,Premium,B2C,West,Active,Apparel,,1,AZ,Territory-E,Enterprise,Noah Rhodes
ORD-00043,CUST-0291,PROD-0132,LOC-0085,REP-0043,2024-03-28,2024-04-08,14,258.03,2465.48,1932.77,0.3175,Pending,North,532.71,11,2024,3,1,Thursday,High,B2C,South,Active,Home & Garden,Furniture,1,GA,Territory-E,SMB,Noah Rhodes
ORD-00045,CUST-0672,PROD-0177,LOC-0001,REP-0014,2024-04-11,2024-04-18,41,289.96,8472.83,4690.49,0.2873,Completed,South,3782.34,7,2024,4,2,Thursday,High,B2C,Central,Churned,Sports,Outdoor Recreation,1,,,Enterprise,Angie Henderson
ORD-00046,CUST-0468,PROD-0035,LOC-0060,REP-0068,2024-03-11,2024-03-15,12,403.03,3489.92,2044.46,0.2784,Completed,North,1445.46,4,2024,3,1,Monday,High,B2C,Central,Active,Home & Garden,Decor,1,AZ,Territory-E,Enterprise,Angie Henderson
ORD-00047,CUST-0437,PROD-0141,LOC-0058,REP-0021,2024-07-26,2024-08-05,21,475.0,6421.56,4142.3,0.3566,Pending,Central,2279.26,10,2024,7,3,Friday,High,,South,Active,Sports,Team Sports,1,KY,Territory-F,Retail,Connie Lawrence
ORD-00049,CUST-0237,PROD-0099,LOC-0089,REP-0020,2023-03-21,2023-04-02,19,121.07,1991.4,1507.91,0.1343,Completed,South,483.49,12,2023,3,1,Tuesday,Medium,B2B,Central,Active,Electronics,Wearables,1,KY,Territory-A,Partner,Cristian Santos
ORD-00050,CUST-0399,PROD-0198,LOC-0075,REP-0003,2024-12-24,2024-12-28,5,210.0,912.54,535.09,0.1324,Completed,West,377.45,4,2024,12,4,Tuesday,Medium,B2C,Central,Active,Beauty,Skincare,1,KY,Territory-B,Enterprise,Daniel Wagner
ORD-00051,CUST-0552,PROD-0192,LOC-0095,REP-0070,2024-08-12,2024-08-19,31,7.92,210.98,147.98,0.1407,Returned,West,63.0,7,2024,8,3,Monday,Low,B2C,North,Active,Office,Supplies,1,MO,Territory-C,,Daniel Wagner
ORD-00052,CUST-0742,PROD-0043,LOC-0060,REP-0017,2024-09-09,2024-09-13,32,113.61,3001.85,1235.59,0.1743,Completed,West,1766.26,4,2024,9,3,Monday,High,,West,Active,Apparel,Men's Clothing,1,AZ,Territory-E,SMB,Allison Hill
ORD-00053,CUST-0139,PROD-0119,LOC-0024,REP-0007,2024-09-29,2024-10-08,2,453.0,692.88,460.9,0.2368,Completed,West,231.98,9,2024,9,3,Sunday,Medium,Guest,East,Active,Beauty,Haircare,1,PA,Territory-F,Online,Noah Rhodes
ORD-00054,CUST-0259,PROD-0021,LOC-0061,REP-0003,2023-09-24,2023-10-01,21,109.77,2003.88,1411.72,0.1307,Completed,West,592.16,7,2023,9,3,Sunday,High,B2C,North,Active,Electronics,Smartphones,1,MA,Territory-E,Enterprise,Daniel Wagner
ORD-00055,CUST-0973,PROD-0064,LOC-0026,REP-0003,2024-07-06,2024-07-07,23,115.99,2594.67,2031.4,0.0274,Completed,North,563.27,1,2024,7,3,Saturday,High,B2B,East,Churned,Beauty,Skincare,0,FL,Territory-D,Enterprise,Daniel Wagner
ORD-00056,CUST-0786,PROD-0095,LOC-0022,REP-0015,2024-09-28,2024-10-01,16,67.48,790.54,494.55,0.2678,Completed,East,295.99,3,2024,9,3,Saturday,Medium,B2C,South,Inactive,Sports,Team Sports,1,SC,Territory-F,Retail,Abigail Shaffer
ORD-00057,CUST-0407,PROD-0184,LOC-0026,REP-0010,2023-06-17,2023-06-22,7,291.45,1282.03,808.09,0.3716,Returned,West,473.94,5,2023,6,2,Saturday,Medium,B2C,North,Active,Apparel,Sportswear,1,FL,Territory-D,Partner,Connie Lawrence
ORD-00058,CUST-0816,PROD-0145,LOC-0006,REP-0045,2024-08-29,2024-09-10,41,125.0,3701.85,1927.31,0.2789,Pending,North,1774.54,12,2024,8,3,Thursday,High,Guest,South,Inactive,Home & Garden,Furniture,1,WI,Territory-E,Enterprise,Allison Hill
ORD-00059,CUST-0109,PROD-0111,LOC-0047,REP-0059,2024-06-29,2024-07-06,43,188.43,6462.55,3467.11,0.2024,Returned,West,2995.44,7,2024,6,2,Saturday,High,B2C,East,Active,Home & Garden,Outdoor,1,MI,Territory-C,Enterprise,Abigail Shaffer
ORD-00060,CUST-0794,PROD-0124,LOC-0060,REP-0056,2024-12-25,2024-12-28,28,92.19,2042.6,1348.49,0.2087,Pending,Central,694.11,3,2024,12,4,Wednesday,High,B2C,Central,Inactive,Beauty,Haircare,1,AZ,Territory-E,SMB,Allison Hill
ORD-00061,CUST-0769,PROD-0119,LOC-0073,REP-0049,2024-08-29,2024-09-03,21,426.6,5981.66,2600.02,0.3323,Returned,South,3381.64,5,2024,8,3,Thursday,High,B2C,North,Active,Beauty,Haircare,1,GA,Territory-F,Enterprise,Noah Rhodes
ORD-00063,CUST-0708,PROD-0122,LOC-0083,REP-0063,2024-07-23,2024-07-24,34,474.0,15574.36,10715.62,0.0342,Completed,South,4858.74,1,2024,7,3,Tuesday,Premium,B2B,East,Active,Home & Garden,Furniture,1,CA,Territory-A,Enterprise,Gina Moore
ORD-00064,CUST-0378,PROD-0122,LOC-0071,REP-0068,2024-04-03,2024-04-16,2,51.06,93.07,62.98,0.0886,Completed,Central,30.09,13,2024,4,2,Wednesday,Low,B2C,East,Churned,Home & Garden,Furniture,1,,,Enterprise,Angie Henderson
ORD-00065,CUST-0124,PROD-0185,LOC-0025,REP-0041,2023-12-19,2023-12-26,48,277.44,11443.4,6654.32,0.1407,Completed,South,4789.08,7,2023,12,4,Tuesday,Premium,B2C,North,Active,Home & Garden,Kitchen,1,NV,Territory-D,Partner,Angie Henderson
ORD-00067,CUST-0130,PROD-0071,LOC-0006,REP-0007,2024-09-03,2024-09-08,7,417.0,2574.02,1401.17,0.1185,Completed,Central,1172.85,5,2024,9,3,Tuesday,High,B2C,West,Active,Beauty,Skincare,0,WI,Territory-E,Online,Noah Rhodes
ORD-00068,CUST-0588,PROD-0073,LOC-0061,REP-0062,2024-07-20,2024-07-25,45,472.32,15832.4,11100.36,0.2551,Completed,North,4732.04,5,2024,7,3,Saturday,Premium,B2C,West,Inactive,Home & Garden,Outdoor,1,MA,Territory-E,,
ORD-00069,CUST-0411,PROD-0126,LOC-0010,REP-0074,2024-03-27,2024-04-02,12,482.0,5209.74,3879.64,0.101,Completed,North,1330.1,6,2024,3,1,Wednesday,High,B2C,West,Active,Sports,Outdoor Recreation,1,DE,Territory-C,Retail,Allison Hill
ORD-00072,CUST-0246,PROD-0045,LOC-0071,REP-0010,2024-09-16,2024-09-28,7,474.0,3042.66,1473.9,0.0831,Pending,South,1568.76,12,2024,9,3,Monday,High,B2C,East,Inactive,Sports,Outdoor Recreation,0,,,Partner,Connie Lawrence
ORD-00073,CUST-0720,PROD-0117,LOC-0010,REP-0030,2023-06-10,2023-06-11,27,228.0,4693.95,2424.44,0.2375,Completed,East,2269.51,1,2023,6,2,Saturday,High,B2C,West,Active,Office,Furniture,1,DE,Territory-C,Partner,Allison Hill
ORD-00074,CUST-0664,PROD-0039,LOC-0035,REP-0019,2023-09-28,2023-10-11,41,296.0,8259.49,3957.35,0.3216,Completed,South,4302.14,13,2023,9,3,Thursday,High,B2C,South,Active,Apparel,Sportswear,1,FL,Territory-A,Retail,Angie Henderson
ORD-00075,CUST-0128,PROD-0120,LOC-0089,REP-0039,2023-03-15,2023-03-16,11,397.35,3330.59,2430.32,0.238,Cancelled,West,900.27,1,2023,3,1,Wednesday,High,B2C,West,Active,Home & Garden,Outdoor,0,KY,Territory-A,Enterprise,Daniel Wagner
ORD-00076,CUST-0753,PROD-0083,LOC-0078,REP-0033,2024-12-17,2024-12-24,18,252.0,3650.68,1577.74,0.1975,Completed,West,2072.94,7,2024,12,4,Tuesday,High,B2C,South,Inactive,Apparel,,1,CA,Territory-F,Partner,Angie Henderson
ORD-00077,CUST-0591,PROD-0011,LOC-0098,REP-0023,2023-01-27,2023-01-29,15,481.0,4803.8,3026.78,0.3344,Cancelled,East,1777.02,2,2023,1,1,Friday,High,,East,Active,Beauty,Haircare,1,LA,Territory-F,SMB,Angie Henderson
ORD-00078,CUST-0993,PROD-0024,LOC-0061,REP-0045,2024-04-26,2024-05-05,42,223.9,8357.16,6675.52,0.1113,Completed,West,1681.64,9,2024,4,2,Friday,High,B2C,West,Inactive,Electronics,Accessories,0,MA,Territory-E,Enterprise,Allison Hill
ORD-00079,CUST-0679,PROD-0103,LOC-0098,REP-0071,2024-02-23,2024-02-29,21,336.0,4645.02,2470.79,0.3431,Pending,East,2174.23,6,2024,2,1,Friday,High,,Central,Active,Home & Garden,Outdoor,1,LA,Territory-F,Partner,Gina Moore
ORD-00082,CUST-0319,PROD-0142,LOC-0002,REP-0071,2023-10-22,2023-10-30,45,244.93,10895.1,7103.7,0.0115,Pending,South,3791.4,8,2023,10,4,Sunday,Premium,,North,Churned,Home & Garden,Furniture,1,CT,Territory-E,Partner,Gina Moore
ORD-00083,CUST-0511,PROD-0184,LOC-0038,REP-0066,2024-02-22,2024-02-24,15,496.17,4724.53,2761.86,0.3652,Completed,South,1962.67,2,2024,2,1,Thursday,High,B2C,Central,Inactive,Apparel,Sportswear,1,WV,Territory-D,Partner,Cristian Santos
ORD-00084,CUST-0196,PROD-0154,LOC-0066,REP-0018,2024-12-23,2024-12-28,27,418.0,6863.88,3414.73,0.3921,Completed,West,3449.15,5,2024,12,4,Monday,High,B2B,East,Active,Sports,Fitness,1,NV,Territory-A,SMB,Connie Lawrence
ORD-00086,CUST-0467,PROD-0083,LOC-0025,REP-0031,2024-11-06,2024-11-14,10,226.0,1822.56,971.38,0.1937,Pending,West,851.18,8,2024,11,4,Wednesday,Medium,B2C,South,Active,Apparel,,1,NV,Territory-D,Enterprise,Connie Lawrence
ORD-00087,CUST-0396,PROD-0170,LOC-0084,REP-0020,2024-08-08,2024-08-15,15,428.0,5374.34,2833.73,0.1643,Completed,West,2540.61,7,2024,8,3,Thursday,High,B2C,East,Active,Beauty,Fragrance,1,,,Partner,Cristian Santos
ORD-00088,CUST-0103,PROD-0135,LOC-0059,REP-0002,2024-05-22,2024-05-23,9,253.63,1743.73,1304.1,0.2361,Returned,West,439.63,1,2024,5,2,Wednesday,Medium,B2B,North,Active,Beauty,Haircare,1,TX,Territory-C,Partner,Noah Rhodes
ORD-00089,CUST-0710,PROD-0102,LOC-0084,REP-0011,2023-05-28,2023-06-04,42,485.0,19766.23,14085.62,0.0299,Completed,Central,5680.61,7,2023,5,2,Sunday,Premium,B2B,East,Active,Apparel,Men's Clothing,1,,,,
ORD-00090,CUST-0894,PROD-0139,LOC-0005,REP-0009,2023-12-03,2023-12-17,44,430.37,16057.97,8457.16,0.152,Pending,West,7600.81,14,2023,12,4,Sunday,Premium,B2C,Central,Churned,Home & Garden,Kitchen,1,PA,Territory-C,Enterprise,Abigail Shaffer
ORD-00092,CUST-0384,PROD-0111,LOC-0019,REP-0032,2024-03-30,2024-04-02,45,153.24,,3610.67,0.0116,Completed,East,,3,2024,3,1,Saturday,Premium,B2C,Central,Inactive,Home & Garden,Outdoor,1,MI,,Partner,Noah Rhodes
ORD-00093,CUST-0635,PROD-0175,LOC-0031,REP-0064,2024-06-27,2024-07-04,37,342.0,11759.74,5527.4,0.072,Pending,West,6232.34,7,2024,6,2,Thursday,Premium,Guest,Central,Inactive,Electronics,,1,NJ,,,
ORD-00095,CUST-0468,PROD-0078,LOC-0026,REP-0050,2023-06-11,2023-06-13,29,472.0,8295.48,4310.84,0.3951,Cancelled,East,3984.64,2,2023,6,2,Sunday,High,B2C,Central,Active,Electronics,Smartphones,1,FL,Territory-D,Retail,Daniel Wagner
ORD-00097,CUST-0795,PROD-0059,LOC-0078,REP-0046,2023-01-09,2023-01-19,44,390.26,10484.88,8013.04,0.3894,Pending,East,2471.84,10,2023,1,1,Monday,Premium,B2C,South,Active,Beauty,Skincare,1,CA,Territory-F,SMB,Daniel Wagner
ORD-00098,CUST-0644,PROD-0025,LOC-0081,REP-0006,2023-08-13,2023-08-24,13,312.0,2959.64,2037.33,0.2711,Pending,South,922.31,11,2023,8,3,Sunday,High,B2C,South,Churned,Electronics,Accessories,1,,,SMB,Abigail Shaffer
ORD-00099,CUST-0766,PROD-0107,LOC-0023,REP-0026,2023-11-13,2023-11-26,29,21.0,,241.23,0.1459,Returned,East,,13,2023,11,4,Monday,Premium,B2C,West,Active,Sports,Outdoor Recreation,1,,,Partner,Cristian Santos
ORD-00100,CUST-0264,PROD-0124,LOC-0038,REP-0044,2023-05-16,2023-05-29,35,438.85,13112.62,7876.99,0.1463,Completed,South,5235.63,13,2023,5,2,Tuesday,Premium,B2C,North,Active,Beauty,Haircare,1,WV,Territory-D,Retail,Abigail Shaffer
ORD-00102,CUST-0391,PROD-0164,LOC-0048,REP-0014,2024-02-09,2024-02-10,17,270.0,3763.42,2518.22,0.1819,Pending,Central,1245.2,1,2024,2,1,Friday,High,B2C,East,Active,Home & Garden,Furniture,1,VA,Territory-F,Enterprise,Angie Henderson
ORD-00103,CUST-0664,PROD-0017,LOC-0082,REP-0060,2024-11-22,2024-11-26,31,17.39,348.41,217.6,0.3537,Returned,South,130.81,4,2024,11,4,Friday,Low,B2C,South,Active,Office,Furniture,1,WV,Territory-A,Online,Cristian Santos
ORD-00104,CUST-0119,PROD-0025,LOC-0031,REP-0069,2024-12-18,2024-12-23,0,207.0,8212.37,6393.37,0.0559,Completed,West,1819.0,5,2024,12,4,Wednesday,High,B2C,South,Active,Electronics,Accessories,1,NJ,,Partner,Angie Henderson
ORD-00105,CUST-0761,PROD-0187,LOC-0020,REP-0054,2023-05-19,2023-05-26,30,188.65,3510.02,2381.88,0.3798,Completed,Central,1128.14,7,2023,5,2,Friday,High,B2B,West,Inactive,Home & Garden,,0,IL,Territory-E,Partner,Allison Hill
ORD-00106,CUST-0455,PROD-0114,LOC-0031,REP-0047,2024-11-01,2024-11-03,32,309.75,6189.05,3168.15,0.3756,Pending,South,3020.9,2,2024,11,4,Friday,High,B2C,South,Inactive,Office,Furniture,1,NJ,,Retail,Angie Henderson
ORD-00108,CUST-0806,PROD-0145,LOC-0027,REP-0009,2024-11-09,2024-11-13,42,321.55,8259.72,3470.99,0.3884,Completed,South,4788.73,4,2024,11,4,Saturday,High,B2B,Central,Active,Home & Garden,Furniture,1,WV,Territory-F,Enterprise,Abigail Shaffer
ORD-00109,CUST-0003,PROD-0071,LOC-0019,REP-0017,2024-07-21,2024-07-25,38,111.9,2772.86,1473.56,0.3479,Completed,Central,1299.3,4,2024,7,3,Sunday,High,B2C,North,Active,Beauty,Skincare,0,MI,,SMB,Allison Hill
ORD-00111,CUST-0526,PROD-0152,LOC-0014,REP-0058,2023-09-29,2023-09-30,9,372.0,2644.65,1846.67,0.2104,Completed,East,797.98,1,2023,9,3,Friday,High,B2C,Central,Active,Sports,Fitness,1,ID,Territory-B,Enterprise,Daniel Wagner
ORD-00112,CUST-0659,PROD-0008,LOC-0008,REP-0062,2024-05-30,2024-06-03,40,26.47,,542.98,0.3133,Completed,West,,4,2024,5,2,Thursday,Premium,B2B,North,Churned,Beauty,Fragrance,1,MN,Territory-A,,
ORD-00113,CUST-0623,PROD-0038,LOC-0009,REP-0017,2024-02-16,2024-02-23,44,58.44,1838.52,1061.61,0.285,Returned,East,776.91,7,2024,2,1,Friday,Medium,B2C,North,Churned,Home & Garden,Furniture,1,AZ,Territory-B,SMB,Allison Hill
ORD-00114,CUST-0465,PROD-0130,LOC-0078,REP-0056,2023-10-09,2023-10-19,41,294.76,8642.1,4773.57,0.2849,Completed,East,3868.53,10,2023,10,4,Monday,High,B2C,East,Inactive,Apparel,Women's Clothing,1,CA,Territory-F,SMB,Allison Hill
ORD-00115,CUST-0441,PROD-0116,LOC-0030,REP-0053,2023-04-12,2023-04-25,45,61.63,2047.01,1537.47,0.2619,Completed,South,509.54,13,2023,4,2,Wednesday,High,B2B,North,Churned,Electronics,,0,NY,Territory-D,Retail,Angie Henderson
ORD-00116,CUST-0384,PROD-0040,LOC-0088,REP-0061,2023-12-14,2023-12-28,30,202.0,4299.55,2257.35,0.2918,Completed,East,2042.2,14,2023,12,4,Thursday,High,B2C,Central,Inactive,Home & Garden,Kitchen,1,FL,Territory-A,SMB,Cristian Santos
ORD-00117,CUST-0062,PROD-0151,LOC-0072,REP-0072,2023-03-10,2023-03-12,6,51.15,295.05,205.21,0.0386,Returned,Central,89.84,2,2023,3,1,Friday,Low,B2B,West,Active,Sports,Outdoor Recreation,1,SC,Territory-A,Enterprise,Abigail Shaffer
ORD-00118,CUST-0992,PROD-0074,LOC-0077,REP-0040,2023-12-04,2023-12-15,8,208.0,1084.42,842.0,0.3494,Completed,North,242.42,11,2023,12,4,Monday,Medium,B2C,East,Inactive,Sports,Team Sports,1,NV,Territory-D,Enterprise,Daniel Wagner
ORD-00119,CUST-0866,PROD-0143,LOC-0048,REP-0015,2023-12-27,2023-12-29,37,256.0,8891.58,5271.6,0.0619,Returned,East,3619.98,2,2023,12,4,Wednesday,High,B2C,West,Active,Electronics,Smartphones,1,VA,Territory-F,Retail,Abigail Shaffer
