order_id,customer_id,product_id,location_id,rep_id,order_date,ship_date,quantity,unit_price,revenue,cost,discount_pct,status,region,custmer_id,_region_mismatch_flag,error
ORD-00469,CUST-0292,PROD-0167,LOC-nan,REP-nan,2023-03-23,2023-03-30,41,123.58,3517.36,2687.2,0.0,Returned,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-00297,CUST-0470,PROD-0192,LOC-nan,REP-nan,2023-05-26,2023-06-07,18,51.05,580.29,440.39,0.0,Completed,Unknown,CUST-9851,,ORPHANED_CUSTOMER_ID
ORD-04613,CUST-0041,PROD-0153,LOC-0007,REP-0051,2024-08-16,2024-08-22,14,191.1,1706.91,685.14,0.362,Completed,West,,,ORPHANED_CUSTOMER_ID
ORD-04093,CUST-0619,PROD-0193,LOC-nan,REP-nan,2023-08-28,2023-09-03,45,487.78,19133.9,14697.84,0.0,Completed,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-03533,CUST-0632,PROD-0174,LOC-0078,REP-0057,2023-12-13,2023-12-24,13,66.88,690.16,395.79,0.2062,Cancelled,East,,,ORPHANED_CUSTOMER_ID
ORD-04375,CUST-0254,PROD-0147,LOC-0075,REP-0073,2023-06-23,2023-06-29,4,279.0,706.45,298.96,0.3687,Pending,East,,,ORPHANED_CUSTOMER_ID
ORD-00133,CUST-0155,PROD-0113,LOC-nan,REP-nan,2024-04-04,2024-04-15,37,323.28,7241.41,3832.76,0.0,Cancelled,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-00849,CUST-0073,PROD-0105,LOC-0005,REP-0016,2024-05-18,2024-05-25,27,470.44,7771.01,4268.29,0.3882,Completed,Central,,,ORPHANED_CUSTOMER_ID
ORD-01184,CUST-0545,PROD-0190,LOC-nan,REP-nan,2024-01-01,2024-01-08,2,226.15,398.43,165.05,0.0,Completed,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-01118,CUST-0430,PROD-0115,LOC-nan,REP-nan,2024-07-10,2024-07-18,19,52.0,957.79,720.6,0.0,Pending,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-02099,CUST-0240,PROD-0079,LOC-0029,REP-0044,2023-07-20,2023-07-29,36,44.75,1516.43,757.66,0.0587,Returned,West,,,ORPHANED_CUSTOMER_ID
ORD-03929,CUST-0823,PROD-0154,LOC-nan,REP-nan,2023-05-28,2023-06-06,29,265.0,6176.75,3396.14,0.0,Returned,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-01322,CUST-0837,PROD-0200,LOC-nan,REP-nan,2024-10-31,2024-11-12,18,207.56,3720.76,2714.0,0.0,Completed,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-01698,CUST-0473,PROD-0112,LOC-0001,REP-0015,2023-10-19,2023-10-26,12,473.16,5107.29,3762.19,0.1005,Completed,East,,,ORPHANED_CUSTOMER_ID
ORD-03047,CUST-0990,PROD-0120,LOC-0004,REP-0054,2024-07-21,2024-08-03,26,72.37,1782.08,1369.77,0.0529,Returned,North,,,ORPHANED_CUSTOMER_ID
ORD-02518,CUST-0757,PROD-0169,LOC-0062,REP-0058,2023-05-25,2023-05-29,19,339.19,5184.69,3916.41,0.1955,Cancelled,East,,,ORPHANED_CUSTOMER_ID
ORD-03003,CUST-0392,PROD-0047,LOC-0094,REP-0010,2023-08-02,2023-08-07,20,307.0,5029.7,3217.26,0.1828,Returned,North,,,ORPHANED_CUSTOMER_ID
ORD-04973,CUST-0541,PROD-0032,LOC-0013,REP-0035,2023-12-21,2024-01-03,33,284.14,6792.42,4118.63,0.2756,Pending,North,,,ORPHANED_CUSTOMER_ID
ORD-02828,CUST-0411,PROD-0125,LOC-0010,REP-0035,2024-03-12,2024-03-13,6,432.89,2248.78,1779.08,0.1342,Completed,South,,,ORPHANED_CUSTOMER_ID
ORD-00024,CUST-0872,PROD-0048,LOC-nan,REP-nan,2023-02-21,2023-03-03,31,253.91,5186.34,2401.14,0.0,Cancelled,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-04184,CUST-0914,PROD-0031,LOC-nan,REP-nan,2024-10-27,2024-11-10,36,251.0,8703.4,6406.2,0.0,Returned,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-00539,CUST-0012,PROD-0164,LOC-nan,REP-nan,2023-08-01,2023-08-14,40,499.5,16671.31,8894.43,0.0,Completed,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-00080,CUST-0845,PROD-0001,LOC-nan,REP-nan,2023-02-07,2023-02-15,6,160.0,839.48,661.57,0.0,Completed,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-02851,CUST-0753,PROD-0111,LOC-0057,REP-0047,2023-10-18,2023-10-21,42,128.0,4516.53,2696.75,0.1602,Completed,North,,,ORPHANED_CUSTOMER_ID
ORD-03361,CUST-0739,PROD-0009,LOC-nan,REP-nan,2024-06-25,2024-07-08,22,315.9,5048.33,3512.05,0.2736,Completed,Unknown,,,ORPHANED_CUSTOMER_ID
ORD-00752,CUST-0750,PROD-0107,LOC-0021,REP-0019,2024-06-15,2024-06-28,26,436.65,8699.73,5694.71,0.2337,Cancelled,West,,,ORPHANED_CUSTOMER_ID
ORD-03464,CUST-0660,PROD-0184,LOC-0094,REP-0018,2024-04-11,2024-04-19,45,484.0,14161.36,8712.33,0.3498,Returned,South,,,ORPHANED_CUSTOMER_ID
