order_id,customer_id,product_id,location_id,rep_id,order_date,ship_date,quantity,unit_price,revenue,cost,discount_pct,status,region,custmer_id,_region_mismatch_flag,error
ORD-00469,CUST-0292,PROD-0167,LOC-nan,REP-nan,2023-03-23,2023-03-30,41,123.58,3517.36,2687.2,0.0,Returned,Unknown,,,ORPHANED_LOCATION_ID
ORD-00297,CUST-0470,PROD-0192,LOC-nan,REP-nan,2023-05-26,2023-06-07,18,51.05,580.29,440.39,0.0,Completed,Unknown,CUST-9851,,ORPHANED_LOCATION_ID
ORD-04093,CUST-0619,PROD-0193,LOC-nan,REP-nan,2023-08-28,2023-09-03,45,487.78,19133.9,14697.84,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00133,CUST-0155,PROD-0113,LOC-nan,REP-nan,2024-04-04,2024-04-15,37,323.28,7241.41,3832.76,0.0,Cancelled,Unknown,,,ORPHANED_LOCATION_ID
ORD-01184,CUST-0545,PROD-0190,LOC-nan,REP-nan,2024-01-01,2024-01-08,2,226.15,398.43,165.05,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01118,CUST-0430,PROD-0115,LOC-nan,REP-nan,2024-07-10,2024-07-18,19,52.0,957.79,720.6,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-03929,CUST-0823,PROD-0154,LOC-nan,REP-nan,2023-05-28,2023-06-06,29,265.0,6176.75,3396.14,0.0,Returned,Unknown,,,ORPHANED_LOCATION_ID
ORD-01322,CUST-0837,PROD-0200,LOC-nan,REP-nan,2024-10-31,2024-11-12,18,207.56,3720.76,2714.0,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00024,CUST-0872,PROD-0048,LOC-nan,REP-nan,2023-02-21,2023-03-03,31,253.91,5186.34,2401.14,0.0,Cancelled,Unknown,,,ORPHANED_LOCATION_ID
ORD-04184,CUST-0914,PROD-0031,LOC-nan,REP-nan,2024-10-27,2024-11-10,36,251.0,8703.4,6406.2,0.0,Returned,Unknown,,,ORPHANED_LOCATION_ID
ORD-00539,CUST-0012,PROD-0164,LOC-nan,REP-nan,2023-08-01,2023-08-14,40,499.5,16671.31,8894.43,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00080,CUST-0845,PROD-0001,LOC-nan,REP-nan,2023-02-07,2023-02-15,6,160.0,839.48,661.57,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-03361,CUST-0739,PROD-0009,LOC-nan,REP-nan,2024-06-25,2024-07-08,22,315.9,5048.33,3512.05,0.2736,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00654,CUST-0361,PROD-0042,LOC-nan,REP-nan,2024-11-17,2024-11-23,2,49.94,66.09,51.33,0.0,Cancelled,Unknown,,,ORPHANED_LOCATION_ID
ORD-01145,CUST-0151,PROD-0037,LOC-nan,REP-nan,2024-09-22,2024-10-03,31,108.61,3363.21,1657.16,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00152,CUST-0192,PROD-0171,LOC-nan,REP-nan,2024-08-11,2024-08-15,46,76.07,2898.4,1872.15,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00578,CUST-0744,PROD-0164,LOC-nan,REP-nan,2023-05-29,2023-06-08,10,419.62,2932.72,1657.51,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00502,CUST-0332,PROD-0176,LOC-nan,REP-nan,2023-07-20,2023-07-29,40,498.55,15760.16,7831.63,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-02940,CUST-0799,PROD-0124,LOC-nan,REP-nan,2024-08-31,2024-09-11,43,391.96,16478.43,10811.88,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00590,CUST-0725,PROD-0198,LOC-nan,REP-nan,2023-02-08,2023-02-19,25,136.0,2464.02,1877.21,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00228,CUST-0017,PROD-0002,LOC-nan,REP-nan,2024-06-01,2024-06-09,24,34.92,624.29,482.93,0.0,Returned,Unknown,,,ORPHANED_LOCATION_ID
ORD-03430,CUST-0281,PROD-0047,LOC-nan,REP-nan,2024-04-15,2024-04-24,42,216.11,8999.47,6784.3,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00492,CUST-0369,PROD-0116,LOC-nan,REP-nan,2023-11-28,2023-12-08,16,283.0,4151.52,2932.15,0.0,Cancelled,Unknown,,,ORPHANED_LOCATION_ID
ORD-04879,CUST-0210,PROD-0180,LOC-nan,REP-nan,2024-04-17,2024-04-29,10,262.65,2284.79,1487.74,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-03065,CUST-0426,PROD-0123,LOC-nan,REP-nan,2024-08-15,2024-08-28,29,446.0,7861.02,5185.88,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01963,CUST-0959,PROD-0051,LOC-nan,REP-nan,2024-03-08,2024-03-15,2,370.06,519.49,354.55,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-02827,CUST-0548,PROD-0182,LOC-nan,REP-nan,2024-08-09,2024-08-15,33,476.41,14830.12,7343.33,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01670,CUST-0903,PROD-0044,LOC-nan,REP-nan,2023-11-30,2023-12-03,12,81.82,606.68,463.42,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01613,CUST-0884,PROD-0162,LOC-nan,REP-nan,2023-03-24,2023-03-29,41,305.23,8220.73,4345.13,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00682,CUST-0987,PROD-0185,LOC-nan,REP-nan,2023-06-13,2023-06-18,9,19.43,119.63,61.14,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01832,CUST-0712,PROD-0153,LOC-nan,REP-nan,2024-04-13,2024-04-19,23,262.73,5854.86,3423.79,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00169,CUST-0461,PROD-0120,LOC-nan,REP-nan,2024-06-22,2024-06-29,50,207.67,7995.3,3598.93,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00531,CUST-0644,PROD-0143,LOC-nan,REP-nan,2024-04-09,2024-04-16,29,44.0,976.59,486.23,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-03426,CUST-0990,PROD-0038,LOC-nan,REP-nan,2024-01-15,2024-01-29,5,14.24,52.03,37.54,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00684,CUST-0973,PROD-0199,LOC-nan,REP-nan,2023-05-24,2023-05-28,8,287.63,1840.6,825.06,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-01425,CUST-0920,PROD-0178,LOC-nan,REP-nan,2024-09-11,2024-09-21,2,221.86,378.63,257.31,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-04255,CUST-0874,PROD-0167,LOC-nan,REP-nan,2023-09-29,2023-10-04,4,359.0,1170.0,480.55,0.187,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00030,CUST-0518,PROD-0126,LOC-nan,REP-nan,2023-06-09,2023-06-14,19,304.39,4123.57,1985.25,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00066,CUST-0742,PROD-0151,LOC-nan,REP-nan,2023-05-03,2023-05-15,35,475.68,12052.07,5744.21,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00788,CUST-0465,PROD-0099,LOC-nan,REP-nan,2024-02-16,2024-02-18,40,377.22,13682.52,8754.49,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00912,CUST-0195,PROD-0073,LOC-nan,REP-nan,2023-06-15,2023-06-18,23,374.81,8600.8,6480.11,0.0,Pending,Unknown,CUST-9221,,ORPHANED_LOCATION_ID
ORD-00280,CUST-0292,PROD-0200,LOC-nan,REP-nan,2024-03-15,2024-03-21,9,127.0,852.68,425.71,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-04311,CUST-0433,PROD-0130,LOC-nan,REP-nan,2024-05-12,2024-05-24,49,239.0,9235.52,5826.71,0.0,Returned,Unknown,,,ORPHANED_LOCATION_ID
ORD-02132,CUST-0140,PROD-0003,LOC-nan,REP-nan,2024-04-06,2024-04-09,36,260.0,8252.34,3451.77,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01492,CUST-0153,PROD-0181,LOC-nan,REP-nan,2024-03-04,2024-03-17,16,398.16,4212.21,2807.45,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00795,CUST-0655,PROD-0058,LOC-nan,REP-nan,2024-03-04,2024-03-10,11,56.9,406.58,310.72,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00034,CUST-0948,PROD-0061,LOC-nan,REP-nan,2024-11-13,2024-11-15,23,391.0,5814.55,3270.98,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-03969,CUST-0667,PROD-0158,LOC-nan,REP-nan,2024-05-07,2024-05-18,9,180.13,1613.39,670.59,0.0,Completed,Unknown,CUST-9709,,ORPHANED_LOCATION_ID
ORD-00473,CUST-0186,PROD-0050,LOC-nan,REP-nan,2023-12-05,2023-12-07,49,476.06,22804.42,16197.09,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-04464,CUST-0459,PROD-0101,LOC-nan,REP-nan,2023-12-03,2023-12-10,40,158.0,5958.81,2606.81,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-03631,CUST-0822,PROD-0020,LOC-nan,REP-nan,2023-11-19,2023-11-21,5,338.83,1261.8,924.61,0.0,Returned,Unknown,,,ORPHANED_LOCATION_ID
ORD-04867,CUST-0628,PROD-0051,LOC-nan,REP-nan,2024-08-31,2024-09-07,29,493.05,9414.1,4793.1,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-03341,CUST-0364,PROD-0050,LOC-nan,REP-nan,2023-08-08,2023-08-15,15,86.0,1285.65,725.67,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00291,CUST-0393,PROD-0039,LOC-nan,REP-nan,2023-08-22,2023-09-03,33,6.0,135.84,55.0,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-02941,CUST-0978,PROD-0100,LOC-nan,REP-nan,2024-09-16,2024-09-17,11,461.54,3904.67,2636.58,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01176,CUST-0046,PROD-0055,LOC-nan,REP-nan,2023-01-02,2023-01-12,39,377.0,9326.62,6139.07,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01648,CUST-0049,PROD-0051,LOC-nan,REP-nan,2024-11-22,2024-12-01,37,41.0,1033.56,791.24,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-03317,CUST-0058,PROD-0087,LOC-nan,REP-nan,2023-10-17,2023-10-31,24,474.0,8228.62,3956.18,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-02233,CUST-0139,PROD-0192,LOC-nan,REP-nan,2024-08-18,2024-08-23,37,409.22,9280.0,6886.95,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-01671,CUST-0333,PROD-0168,LOC-nan,REP-nan,2023-12-01,2023-12-12,38,42.0,1412.42,877.47,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01808,CUST-0460,PROD-0159,LOC-nan,REP-nan,2023-12-05,2023-12-11,4,225.0,741.81,378.83,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01783,CUST-0387,PROD-0137,LOC-nan,REP-nan,2024-01-12,2024-01-25,36,381.3,11365.79,7038.76,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00085,CUST-0290,PROD-0186,LOC-nan,REP-nan,2023-03-13,2023-03-18,50,396.0,16515.28,12777.86,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01434,CUST-0911,PROD-0105,LOC-nan,REP-nan,2024-02-05,2024-02-13,39,419.0,14871.94,11347.34,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00562,CUST-0776,PROD-0038,LOC-nan,REP-nan,2024-10-22,2024-11-02,4,49.81,134.13,101.26,0.0,Returned,Unknown,,,ORPHANED_LOCATION_ID
ORD-03830,CUST-0103,PROD-0185,LOC-nan,REP-nan,2023-09-22,2023-10-02,44,293.34,9682.8,5439.16,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00107,CUST-0992,PROD-0032,LOC-nan,REP-nan,2023-04-12,2023-04-23,24,274.51,4011.58,2180.17,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-02634,CUST-0957,PROD-0110,LOC-nan,REP-nan,2024-03-04,2024-03-11,33,36.86,789.55,383.97,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-04693,CUST-0813,PROD-0085,LOC-nan,REP-nan,2023-05-03,2023-05-08,19,305.54,4896.74,2044.0,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-02888,CUST-0189,PROD-0093,LOC-nan,REP-nan,2023-10-21,2023-10-22,24,194.21,3788.49,2808.2,0.0,Cancelled,Unknown,,,ORPHANED_LOCATION_ID
ORD-00411,CUST-0794,PROD-0079,LOC-nan,REP-nan,2023-10-11,2023-10-25,24,71.48,1212.53,910.8,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00894,CUST-0732,PROD-0096,LOC-nan,REP-nan,2024-11-23,2024-11-30,45,75.91,3137.55,2045.14,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00009,CUST-0882,PROD-0029,LOC-nan,REP-nan,2024-03-14,2024-03-24,26,184.19,2878.63,1310.73,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00427,CUST-0615,PROD-0010,LOC-nan,REP-nan,2024-06-19,2024-07-03,33,343.76,7593.73,4876.73,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-02276,CUST-0957,PROD-0076,LOC-nan,REP-nan,2024-09-30,2024-10-12,35,218.04,7225.41,5684.98,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01256,CUST-0936,PROD-0105,LOC-nan,REP-nan,2023-09-29,2023-10-09,21,19.1,396.97,163.31,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00158,CUST-0998,PROD-0048,LOC-nan,REP-nan,2023-05-08,2023-05-21,24,221.29,4461.21,2569.19,0.0,Cancelled,Unknown,,,ORPHANED_LOCATION_ID
ORD-00241,CUST-0586,PROD-0134,LOC-nan,REP-nan,2023-01-13,2023-01-18,27,196.0,5137.64,3906.94,0.0,Returned,Unknown,,,ORPHANED_LOCATION_ID
ORD-00627,CUST-0920,PROD-0079,LOC-nan,REP-nan,2024-05-12,2024-05-22,43,349.0,9979.73,5769.31,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01236,CUST-0571,PROD-0136,LOC-nan,REP-nan,2024-08-10,2024-08-14,36,48.56,1576.67,991.87,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00735,CUST-0788,PROD-0012,LOC-nan,REP-nan,2023-04-27,2023-05-07,15,64.74,884.09,444.81,0.0896,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00180,CUST-0904,PROD-0068,LOC-nan,REP-nan,2024-05-21,2024-05-31,42,337.0,12569.68,5068.99,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01273,CUST-0401,PROD-0041,LOC-nan,REP-nan,2023-05-24,2023-05-27,31,412.11,8868.69,6410.25,0.0,Cancelled,Unknown,,,ORPHANED_LOCATION_ID
ORD-00334,CUST-0624,PROD-0122,LOC-nan,REP-nan,2023-10-20,2023-11-03,35,440.0,10006.73,5059.95,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00081,CUST-0209,PROD-0069,LOC-nan,REP-nan,2024-04-18,2024-04-25,4,97.85,334.76,235.19,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00722,CUST-0019,PROD-0002,LOC-nan,REP-nan,2023-08-05,2023-08-08,6,374.78,1705.4,1276.74,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00423,CUST-0945,PROD-0047,LOC-nan,REP-nan,2024-08-29,2024-09-01,9,316.62,2804.84,1763.99,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00643,CUST-0998,PROD-0178,LOC-nan,REP-nan,2024-05-19,2024-05-21,39,374.0,11197.71,7012.34,0.0,Returned,Unknown,,,ORPHANED_LOCATION_ID
ORD-03942,CUST-0251,PROD-0029,LOC-nan,REP-nan,2024-06-02,2024-06-14,39,343.0,11527.31,7629.14,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00486,CUST-0953,PROD-0054,LOC-nan,REP-nan,2024-06-22,2024-07-02,45,297.0,13111.87,6402.38,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00374,CUST-0339,PROD-0072,LOC-nan,REP-nan,2024-06-01,2024-06-15,31,426.0,8626.7,3709.02,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-03144,CUST-0517,PROD-0070,LOC-nan,REP-nan,2023-02-07,2023-02-15,49,354.62,13409.35,10133.72,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-01935,CUST-0645,PROD-0038,LOC-nan,REP-nan,2024-01-31,2024-02-06,41,273.1,8793.08,6754.84,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-02108,CUST-0229,PROD-0087,LOC-nan,REP-nan,2024-06-20,2024-06-26,24,461.03,8281.94,3568.0,0.0,Cancelled,Unknown,,,ORPHANED_LOCATION_ID
ORD-00554,CUST-0582,PROD-0034,LOC-nan,REP-nan,2023-07-22,2023-08-03,49,337.0,12992.21,10257.0,0.0,Pending,Unknown,,,ORPHANED_LOCATION_ID
ORD-00487,CUST-0814,PROD-0182,LOC-nan,REP-nan,2023-03-23,2023-03-31,41,35.05,1116.3,865.46,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-00600,CUST-0065,PROD-0031,LOC-nan,REP-nan,2024-07-12,2024-07-15,21,419.03,6008.39,4240.07,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
ORD-03277,CUST-0859,PROD-0008,LOC-nan,REP-nan,2023-03-31,2023-04-06,1,362.25,306.28,144.16,0.0,Cancelled,Unknown,,,ORPHANED_LOCATION_ID
ORD-00472,CUST-0381,PROD-0119,LOC-nan,REP-nan,2023-01-09,2023-01-13,6,79.59,383.27,205.73,0.0,Completed,Unknown,,,ORPHANED_LOCATION_ID
