location_id,city,state,region,country,postal_code,territory
LOC-031,East Courtneychester,NJ,North,USA,10282-7396,
LOC-066,North Deniseside,NV,West,USA,MG93 1XW,Territory-A
LOC-065,Mortonside,CT,North,USA,90120-2193,Territory-D
LOC-054,,,East,USA,,
LOC-046,,,West,USA,,
LOC-094,Lake Matthew,WV,East,USA,70910,Territory-E
LOC-092,East Josephville,MS,South,USA,78386,Territory-F
LOC-048,Lake Larry,VA,East,USA,37535-5088,Territory-F
LOC-011,,,North,USA,,
LOC-001,,,North,USA,,
LOC-019,,MI,Central,USA,WH91 9PD,
LOC-032,South Patrickmouth,AZ,West,USA,82845-8973,Territory-B
L089,East Mikeburgh,KY,East,USA,96706-7071,Territory-A
LOC-096,North Cynthiaview,LA,South,USA,56507,Territory-C
LOC-078,Port Jacobland,CA,West,USA,54057-7624,Territory-F
LOC-005,Lake Debra,PA,North,USA,22676-6881,Territory-C
LOC-081,,,West,USA,,
LOC-034,Lake Nicoleview,IL,Central,USA,BP74 9EY,Territory-A
LOC-013,New Kellystad,AL,South,USA,95909,Territory-D
LOC-027,West Donald,WV,East,USA,71213-1887,Territory-F
LOC-099,Hoffmanville,MN,Central,USA,82544-9698,Territory-C
LOC-056,New David,CO,West,USA,LZ24 7XE,Territory-A
LOC-023,,,East,USA,,
LOC-077,North Susan,NV,West,USA,38760-5471,Territory-D
LOC-045,,,North,USA,,
LOC-073,Mooreport,GA,South,USA,60205,Territory-F
LOC-016,Port Jesseville,NY,North,USA,30033,Territory-F
LOC-043,North John,NJ,North,USA,46930-4450,Territory-F
LOC-041,New Mariotown,AL,South,USA,30676-8179,Territory-E
LOC-010,North Noahstad,DE,East,USA,97841,Territory-C
LOC-086,South Christineshire,LA,South,USA,TE87 2UE,Territory-C
LOC-012,Herrerafurt,TX,South,USA,62581-5386,Territory-A
LO-092,east josephville,MS,South,USA,78386,Territory-F
LOC-079,South David,LA,South,USA,91560,Territory-E
L029,Coxberg,NC,South,USA,DE69 4WB,Territory-E
LOC-080,New Brooke,NH,North,USA,RC64 3WE,Territory-C
LOC-006,Robinsonshire,WI,Central,USA,70217,Territory-E
LOC-063,Taylorburgh,LA,South,USA,RH94 6CY,Territory-B
LOC-057,Sanchezfort,CA,West,USA,RY95 4JB,Territory-F
LOC-040,,,Central,USA,,
LOC-036,South Aaron,CO,West,USA,36772-6147,Territory-B
LOC-017,Ramirezstad,MS,South,USA,KP69 9GO,Territory-A
LOC-067,North Sarabury,NV,West,USA,77889,Territory-D
LOC-035,Danielchester,FL,South,USA,RG25 4PB,Territory-A
LOC-008,Lake Roberto,MN,Central,USA,SB39 5ZW,Territory-A
LOC-044,North Jessicaland,MD,East,USA,WN42 1CL,Territory-C
LOC-069,Port Richard,CO,West,USA,90301-9270,Territory-D
LOC-070,East Nicholasfurt,IA,Central,USA,72216,Territory-D
LOC-028,Juliechester,NY,North,USA,54473-2790,Territory-B
LOC-020,New Jessica,IL,Central,USA,MC56 5GG,Territory-E
LOC-085,Stewartland,GA,South,USA,97747-2874,Territory-E
LOC-026,Wilkersonmouth,FL,South,USA,96374,Territory-D
LOC-074,North Beth,NC,South,USA,64377,Territory-D
LOC-050,Martinezbury,NJ,North,USA,UK95 4GU,Territory-A
LOC-014,Lake Chad,ID,West,USA,44718,Territory-B
LOC-025,Jasonfort,NV,West,USA,SW83 8GM,Territory-D
LOC-004,East Jessetown,CO,West,USA,30379-4527,Territory-C
LOC-018,West Michael,TX,North,USA,CL68 1YW,Territory-C
L039,East Nathaniel,TX,North,USA,80468,Territory-B
LOC-009,Ericmouth,AZ,West,USA,93320-6977,Territory-B
LOC-082,Sarahborough,WV,East,USA,65255-5133,Territory-A
LOC-007,Lisatown,TX,North,USA,82357,Territory-C
LOC-068,South Todd,CT,North,USA,69829,Territory-B
LOC-037,Teresaburgh,WV,East,USA,98039,Territory-F
LOC-091,Lake Lisaport,NH,North,USA,93307-8532,Territory-F
LOC-084,,,South,USA,,
LOC-055,West Elizabeth,WI,Central,USA,24208,Territory-E
LOC-051,West Andrewside,CA,West,USA,39154-4269,Territory-D
LOC-071,,,East,USA,,
LOC-047,Brandtside,MI,Central,USA,26704-1685,Territory-C
L100,Lake Rebeccaside,CO,West,USA,69473-5438,Territory-C
LOC-062,East Jamesside,MN,Central,USA,67905-8244,Territory-F
LO-038,port colleenhaven,WV,East,USA,19508-1152,Territory-D
LOC-097,North Matthewberg,DE,East,USA,ON34 2GK,Territory-E
LOC-042,West Natashaport,KY,East,USA,AV48 2YD,Territory-A
LOC-059,Gomezchester,TX,North,USA,97410-7691,Territory-C
LOC-049,Samuelhaven,VT,North,USA,ZT40 3ZV,Territory-D
LOC-090,Bassport,MN,Central,USA,65057,Territory-D
LOC-058,Leeville,KY,East,USA,96951-3041,Territory-F
LOC-076,Shawhaven,UT,West,USA,WT58 8AJ,Territory-D
LOC-033,Tashatown,SC,South,USA,17665,Territory-E
LOC-098,Evanmouth,LA,South,USA,LA47 4KG,Territory-F
LOC-060,Shieldston,AZ,West,USA,ER58 3QH,Territory-E
LOC-064,Stevenland,MD,East,USA,29313,Territory-A
LO-027,west donald,WV,East,USA,71213-1887,Territory-F
LOC-038,Port Colleenhaven,TX,North,USA,19508-1152,Territory-D
LOC-030,Daviston,NY,North,USA,VZ40 3KM,Territory-D
LOC-002,East Jill,CT,North,USA,76237,Territory-E
LOC-053,Lake Crystalbury,MS,South,USA,46517-2137,Territory-C
LOC-022,Lake Mark,SC,South,USA,LF79 4SK,Territory-F
LOC-003,New Roberttown,CT,North,USA,SK67 5VA,Territory-B
LOC-024,Adamsborough,PA,North,USA,BB14 6BG,Territory-F
LOC-088,Davidstad,FL,South,USA,GS48 2UO,Territory-A
LOC-095,Williamview,MO,Central,USA,13761-9098,Territory-C
LOC-075,Lake Leeton,KY,East,USA,64496-2020,Territory-B
LOC-087,North Amandahaven,NY,North,USA,85470-7149,Territory-D
LOC-083,Johnfurt,CA,West,USA,BY38 2UQ,Territory-A
LOC-021,South Noah,PA,North,USA,VZ78 3DM,Territory-E
LOC-061,North Richardmouth,MA,North,USA,37549-8043,Territory-E
LOC-072,Rodneyside,SC,South,USA,51904-9849,Territory-A
LOC-015,Port Keith,SC,South,USA,LP56 4ZD,Territory-D
LOC-093,West Juan,KY,East,USA,MV85 5IG,Territory-A
LOC-052,New Jeffrey,DE,East,USA,39219,Territory-A
LO-079,south david,LA,South,USA,91560,Territory-E
