order_id,customer_id,product_id,location_id,rep_id,order_date,ship_date,quantity,unit_price,revenue,cost,discount_pct,status,region,custmer_id,_region_mismatch_flag
ORD-00469,CUST-292,PROD-167,,,03/23/2023,30-Mar-2023,41,123.58,3517.36,2687.2,,Returned,,,
ORD-00297,CUST-470,PROD-192,,,2023-05-26,07-Jun-2023,18,51.05,580.29,440.39,,Completed,,CUST-9851,
ORD-04613,CUST-041,PROD-153,LOC-007,REP-051,08/16/2024,2024-08-22,14,191.10,1706.91,685.14,0.362,Completed,West,,
ORD-04093,CUST-619,PROD-193,,,2023-08-28,03-Sep-2023,45,$487.78,19133.9,14697.84,,Completed,,,
ORD-03533,CUST-632,PROD-174,LOC-078,REP-057,12/13/2023,24-Dec-2023,13,66.88,690.16,395.79,0.2062,Cancelled,East,,
ORD-04375,CUST-254,PROD-147,LOC-075,REP-073,23-Jun-2023,06/29/2023,4,279,706.45,298.96,0.3687,Pending,East,,
ORD-00133,CUST-155,PROD-113,,,04/04/2024,15-Apr-2024,37,323.28,7241.41,3832.76,,Cancelled,,,
ORD-00849,CUST-073,PROD-105,LOC-005,REP-016,05/18/2024,05/25/2024,27,470.44,7771.01,4268.29,0.3882,Completed,Central,,
ORD-01184,CUST-545,PROD-190,,,2024-01-01,2024-01-08,2,$226.15,398.43,165.05,,Completed,,,
ORD-01118,CUST-430,PROD-115,,,10-Jul-2024,07/18/2024,19,52,957.79,720.6,,Pending,,,
ORD-02099,C240,PROD-079,LOC-029,REP-044,20-Jul-2023,2023-07-29,36,$44.75,1516.43,757.66,0.0587,Returned,West,,
ORD-03929,CUST-823,PROD-154,,,28-May-2023,06/06/2023,29,265,6176.75,3396.14,,Returned,,,
ORD-01322,CUST-837,PROD-200,,,31-Oct-2024,2024-11-12,18,$207.56,3720.76,2714.0,,Completed,,,
ORD-01698,CUST-473,PROD-112,LOC-001,REP-015,19-Oct-2023,26-Oct-2023,12,473.16,5107.29,3762.19,0.1005,Completed,East,,
ORD-03047,CUST-990,PROD-120,LOC-004,REP-054,07/21/2024,2024-08-03,26,$72.37,1782.08,1369.77,0.0529,Returned,North,,
ORD-02518,CUST-757,PROD-169,LOC-062,REP-058,05/25/2023,05/29/2023,19,339.19,5184.69,3916.41,0.1955,Cancelled,East,,
ORD-03003,CUST-392,PROD-047,LOC-094,REP-010,02-Aug-2023,2023-08-07,20,307,5029.7,3217.26,0.1828,Returned,North,,
ORD-04973,CUST-541,PROD-032,LOC-013,REP-035,21-Dec-2023,2024-01-03,33,$284.14,6792.42,4118.63,0.2756,Pending,North,,
ORD-02828,CUST-411,PROD-125,LOC-010,REP-035,03/12/2024,03/13/2024,6,432.89,2248.78,1779.08,0.1342,Completed,South,,
ORD-00024,CUST-872,PROD-048,,,2023-02-21,2023-03-03,31,$253.91,5186.34,2401.14,,Cancelled,,,
ORD-04184,CUST-914,PROD-031,,,27-Oct-2024,2024-11-10,36,251,8703.4,6406.2,,Returned,,,
ORD-00539,CUST-012,PROD-164,,,2023-08-01,2023-08-14,40,$499.50,16671.31,8894.43,,Completed,,,
ORD-00080,CUST-845,PROD-001,,,2023-02-07,2023-02-15,6,160,839.48,661.57,,Completed,,,
ORD-02851,CUST-753,PROD-111,LOC-057,REP-047,18-Oct-2023,2023-10-21,42,128,4516.53,2696.75,0.1602,Completed,North,,
ORD-03361,CUST-739,PROD-009,,,06/25/2024,2024-07-08,22,$315.90,5048.33,3512.05,0.2736,Completed,,,
ORD-00752,C750,PROD-107,LOC-021,REP-019,06/15/2024,28-Jun-2024,26,436.65,8699.73,5694.71,0.2337,Cancelled,West,,
ORD-03464,CUST-660,PROD-184,LOC-094,REP-018,11-Apr-2024,04/19/2024,45,$484.00,14161.36,8712.33,0.3498,Returned,South,,
ORD-02544,CUST-012,PROD-146,LOC-090,REP-025,2024-04-15,04/22/2024,12,$298.10,3313.92,1898.55,0.0736,Completed,Central,,
ORD-03997,CUST-523,PROD-071,LOC-083,REP-068,25-May-2023,2023-06-08,31,172,4572.52,3479.9,0.1471,Completed,North,,
ORD-02678,CUST-441,PROD-009,LOC-081,REP-002,01/10/2024,01/14/2024,22,477.15,6660.54,4968.55,0.3655,Completed,West,,
ORD-04029,CUST-120,PROD-098,LOC-013,REP-038,21-Mar-2023,2023-03-28,48,141,4735.23,2649.09,0.3042,Cancelled,South,,
